time,open,high,low,close,vol,date
1613260800000,26.399,28.981,24.301,25.02,1695365.236,2021-02-14
1613347200000,25.049,26.91,21.0,24.597,1833928.527,2021-02-15
1613433600000,24.61,26.5,23.134,24.072,1526684.596,2021-02-16
1613520000000,24.074,24.525,22.221,24.255,1491465.462,2021-02-17
1613606400000,24.293,24.637,22.769,23.155,1145262.551,2021-02-18
1613692800000,23.184,23.6,21.418,22.292,1492736.79,2021-02-19
1613779200000,22.299,25.529,21.353,23.194,2328411.543,2021-02-20
1613865600000,23.154,23.697,22.181,22.828,1018199.018,2021-02-21
1613952000000,22.835,22.928,17.3,20.992,2036290.427,2021-02-22
1614038400000,21.008,21.17,13.9,18.158,3687284.891,2021-02-23
1614124800000,18.182,20.929,17.267,19.16,1563507.39,2021-02-24
1614211200000,19.153,21.979,18.134,18.309,1607047.3,2021-02-25
1614297600000,18.308,19.862,16.88,17.997,1545998.704,2021-02-26
1614384000000,18.018,20.41,17.943,18.784,1064422.951,2021-02-27
1614470400000,18.789,19.311,16.29,18.727,1222929.309,2021-02-28
1614556800000,18.719,21.147,18.718,20.671,1200912.697,2021-03-01
1614643200000,20.686,23.36,20.665,22.45,1682656.916,2021-03-02
1614729600000,22.459,24.068,22.095,22.538,890515.349,2021-03-03
1614816000000,22.556,24.39,21.123,21.473,1278868.028,2021-03-04
1614902400000,21.467,21.473,20.036,20.745,692329.622,2021-03-05
1614988800000,20.738,21.434,20.111,21.244,440190.427,2021-03-06
1615075200000,21.272,21.782,20.513,21.73,508532.936,2021-03-07
1615161600000,21.722,21.925,20.719,21.873,473308.0,2021-03-08
1615248000000,21.89,22.752,21.388,22.659,647455.566,2021-03-09
1615334400000,22.629,23.396,21.354,21.609,880572.92,2021-03-10
1615420800000,21.622,22.305,20.687,20.82,947264.162,2021-03-11
1615507200000,20.827,20.988,18.83,19.453,1210470.34,2021-03-12
1615593600000,19.471,20.864,18.805,20.469,697704.647,2021-03-13
1615680000000,20.488,20.579,19.185,19.395,707279.134,2021-03-14
1615766400000,19.393,19.98,18.202,18.919,677423.279,2021-03-15
1615852800000,18.919,19.147,18.117,18.727,579357.931,2021-03-16
1615939200000,18.73,19.297,17.819,19.203,628632.383,2021-03-17
1616025600000,19.22,19.442,18.511,18.552,557034.905,2021-03-18
1616112000000,18.567,20.412,18.175,19.871,639266.59,2021-03-19
1616198400000,19.855,21.471,19.763,19.792,861507.846,2021-03-20
1616284800000,19.814,20.081,19.086,19.523,550256.208,2021-03-21
1616371200000,19.521,20.022,17.747,18.027,736174.762,2021-03-22
1616457600000,18.024,18.328,17.221,17.422,737017.935,2021-03-23
1616544000000,17.422,18.255,15.528,16.095,948962.228,2021-03-24
1616630400000,16.107,17.067,15.419,16.12,838480.379,2021-03-25
1616716800000,16.119,17.6,16.088,17.469,542004.224,2021-03-26
1616803200000,17.479,17.645,16.713,17.136,512313.371,2021-03-27
1616889600000,17.134,17.312,16.374,16.469,594852.669,2021-03-28
1616976000000,16.469,17.834,16.289,17.78,763146.353,2021-03-29
1617062400000,17.791,18.0,17.26,17.533,540118.882,2021-03-30
1617148800000,17.547,17.89,16.548,17.658,736177.388,2021-03-31
1617235200000,17.653,19.368,17.588,19.179,1231589.357,2021-04-01
1617321600000,19.179,21.46,18.77,21.415,1572042.242,2021-04-02
1617408000000,21.429,21.64,19.0,19.27,996112.328,2021-04-03
1617494400000,19.271,21.39,19.0,20.648,746160.76,2021-04-04
1617580800000,20.648,21.141,19.642,20.738,755351.431,2021-04-05
1617667200000,20.73,22.434,20.627,22.056,1187831.47,2021-04-06
1617753600000,22.058,22.322,18.609,19.394,1259848.625,2021-04-07
1617840000000,19.394,20.151,18.984,19.901,621827.658,2021-04-08
1617926400000,19.911,20.404,19.114,19.421,553692.691,2021-04-09
1618012800000,19.422,19.999,18.58,18.994,653855.298,2021-04-10
1618099200000,18.993,19.318,18.303,18.989,659689.911,2021-04-11
1618185600000,18.979,19.963,18.5,19.591,1023059.523,2021-04-12
1618272000000,19.592,20.2,18.97,19.115,889667.421,2021-04-13
1618358400000,19.124,21.876,18.668,20.023,1984370.508,2021-04-14
1618444800000,20.012,22.61,19.921,22.025,1851581.596,2021-04-15
1618531200000,22.032,23.122,20.017,20.851,1667255.636,2021-04-16
1618617600000,20.883,21.956,20.209,20.224,987364.844,2021-04-17
1618704000000,20.237,20.404,14.795,18.014,2136872.367,2021-04-18
1618790400000,18.004,18.288,15.69,15.981,1344574.845,2021-04-19
1618876800000,15.992,17.737,14.7,16.818,1279546.42,2021-04-20
1618963200000,16.8,17.1,15.578,15.859,1296260.499,2021-04-21
1619049600000,15.862,17.776,15.0,15.289,1680297.462,2021-04-22
1619136000000,15.286,15.64,12.991,14.877,2029762.37,2021-04-23
1619222400000,14.894,14.914,13.453,13.733,727998.585,2021-04-24
1619308800000,13.747,14.8,13.255,14.127,573817.078,2021-04-25
1619395200000,14.128,16.174,13.974,16.118,1009789.709,2021-04-26
1619481600000,16.12,17.228,15.696,17.12,961270.999,2021-04-27
1619568000000,17.12,17.393,15.933,16.818,871275.391,2021-04-28
1619654400000,16.839,17.85,16.465,17.703,1038995.16,2021-04-29
1619740800000,17.7,18.5,17.361,18.197,921843.618,2021-04-30
1619827200000,18.187,18.61,17.618,18.17,804756.731,2021-05-01
1619913600000,18.178,18.31,16.813,17.332,978431.98,2021-05-02
1620000000000,17.332,19.25,17.229,18.869,1893508.223,2021-05-03
1620086400000,18.863,18.868,16.194,16.47,1580478.206,2021-05-04
1620172800000,16.472,17.92,16.267,17.677,1051345.903,2021-05-05
1620259200000,17.676,18.846,17.01,18.427,2015882.093,2021-05-06
1620345600000,18.427,20.518,17.7,18.772,3575488.595,2021-05-07
1620432000000,18.766,19.142,18.117,18.402,1249732.033,2021-05-08
1620518400000,18.405,18.552,17.1,17.804,1042949.019,2021-05-09
